The Fool: New beginnings, innocence, spontaneity
The Magician: Manifestation, resourcefulness, power
The High Priestess: Intuition, mystery, subconscious
The Empress: Femininity, beauty, nature
The Emperor: Authority, structure, control
The Hierophant: Spiritual wisdom, religious beliefs, conformity
The Lovers: Love, harmony, relationships
The Chariot: Control, willpower, success
Strength: Strength, courage, patience
The Hermit: Soul searching, introspection, inner guidance
Wheel of Fortune: Good luck, karma, life cycles
Justice: Justice, fairness, truth
The Hanged Man: Suspension, restriction, letting go
Death: Endings, beginnings, change
Temperance: Balance, moderation, patience
The Devil: Bondage, addiction, sexuality
The Tower: Sudden change, upheaval, chaos
The Star: Hope, faith, purpose
The Moon: Illusion, fear, anxiety
The Sun: Positivity, fun, warmth
Judgement: Judgement, rebirth, inner calling
The World: Completion, accomplishment, travel
